Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
3.560,6.000,6.000,6.000,6.000,
3.570,6.000,6.000,6.000,6.000,
3.580,6.000,6.000,6.000,6.000,
3.590,6.000,6.000,6.000,6.000,
3.600,6.000,6.000,6.000,6.000,
3.610,6.000,6.000,6.000,6.000,
3.620,6.000,6.000,6.000,6.000,
3.630,6.000,6.000,6.000,6.000,
3.640,6.000,6.000,6.000,6.000,
3.650,6.000,6.000,6.000,6.000,
3.660,6.000,6.000,6.000,6.000,
3.670,6.000,6.000,6.000,6.000,
3.680,6.000,6.000,6.000,6.000,
3.690,6.000,6.000,6.000,6.000,
3.700,6.000,6.000,6.000,6.000,
3.710,6.000,6.000,6.000,4.000,
3.720,6.000,6.000,6.000,4.000,
3.730,6.000,6.000,6.000,4.000,
3.740,6.000,6.000,6.000,4.000,
3.750,6.000,6.000,6.000,4.000,
3.760,6.000,6.000,4.000,4.000,
3.770,6.000,6.000,4.000,4.000,
3.780,6.000,6.000,4.000,4.000,
3.790,6.000,6.000,4.000,4.000,
3.800,6.000,6.000,4.000,4.000,
3.810,6.000,6.000,4.000,4.000,
3.820,6.000,6.000,4.000,4.000,
3.830,6.000,6.000,4.000,4.000,
3.840,6.000,6.000,4.000,4.000,
3.850,6.000,6.000,4.000,4.000,
3.860,6.000,6.000,4.000,4.000,
3.870,6.000,6.000,4.000,4.000,
3.880,6.000,6.000,4.000,4.000,
3.890,6.000,6.000,4.000,4.000,
3.900,6.000,6.000,4.000,4.000,
3.910,6.000,6.000,4.000,4.000,
3.920,6.000,6.000,4.000,4.000,
3.930,6.000,6.000,4.000,4.000,
3.940,4.000,6.000,4.000,4.000,
3.950,4.000,6.000,4.000,4.000,
3.960,4.000,6.000,4.000,4.000,
3.970,4.000,6.000,4.000,4.000,
3.980,4.000,6.000,4.000,4.000,
3.990,4.000,6.000,4.000,4.000,
4.000,4.000,6.000,4.000,4.000,
4.010,4.000,6.000,4.000,4.000,
4.020,4.000,6.000,4.000,4.000,
4.030,4.000,6.000,4.000,4.000,
4.040,4.000,6.000,4.000,4.000,
4.050,4.000,6.000,4.000,4.000,
4.060,4.000,6.000,4.000,4.000,
4.070,4.000,6.000,4.000,4.000,
4.080,4.000,6.000,4.000,4.000,
4.090,4.000,6.000,4.000,4.000,
4.100,4.000,6.000,4.000,4.000,
4.110,4.000,6.000,4.000,4.000,
4.120,4.000,6.000,4.000,4.000,
4.130,4.000,6.000,4.000,4.000,
4.140,4.000,6.000,4.000,5.000,
4.150,4.000,6.000,4.000,5.000,
4.160,4.000,6.000,4.000,5.000,
4.170,4.000,6.000,4.000,5.000,
4.180,4.000,6.000,4.000,5.000,
4.190,4.000,6.000,4.000,5.000,
4.200,4.000,6.000,4.000,5.000,
4.210,4.000,6.000,4.000,5.000,
4.220,4.000,6.000,4.000,5.000,
4.230,4.000,6.000,4.000,5.000,
4.240,4.000,6.000,4.000,5.000,
4.250,4.000,6.000,4.000,5.000,
4.260,4.000,6.000,5.000,5.000,
4.270,4.000,6.000,5.000,5.000,
4.280,4.000,6.000,5.000,5.000,
4.290,4.000,6.000,5.000,5.000,
4.300,4.000,6.000,5.000,5.000,
4.310,4.000,6.000,5.000,5.000,
4.320,4.000,6.000,5.000,5.000,
4.330,4.000,6.000,5.000,5.000,
4.340,4.000,6.000,5.000,5.000,
4.350,4.000,6.000,5.000,5.000,
4.360,4.000,6.000,5.000,5.000,
4.370,4.000,6.000,5.000,5.000,
4.380,4.000,6.000,5.000,5.000,
4.390,4.000,6.000,5.000,5.000,
4.400,4.000,6.000,5.000,5.000,
4.410,4.000,6.000,5.000,5.000,
4.420,4.000,6.000,5.000,5.000,
4.430,4.000,6.000,5.000,5.000,
4.440,4.000,6.000,5.000,5.000,
4.450,4.000,6.000,5.000,5.000,
4.460,4.000,6.000,5.000,5.000,
4.470,4.000,6.000,7.000,5.000,
4.480,4.000,6.000,7.000,5.000,
4.490,4.000,6.000,7.000,5.000,
4.500,4.000,6.000,7.000,5.000,
4.510,4.000,6.000,7.000,5.000,
4.520,4.000,6.000,7.000,4.000,
4.530,7.000,6.000,7.000,7.000,
4.540,7.000,6.000,7.000,7.000,
4.550,7.000,6.000,7.000,7.000,
4.560,7.000,6.000,7.000,7.000,
4.570,7.000,6.000,7.000,7.000,
4.580,7.000,6.000,7.000,7.000,
4.590,7.000,6.000,7.000,7.000,
4.600,7.000,6.000,3.000,7.000,
4.610,7.000,6.000,3.000,7.000,
4.620,7.000,6.000,3.000,7.000,
4.630,7.000,6.000,3.000,7.000,
4.640,7.000,6.000,3.000,7.000,
4.650,1.000,6.000,3.000,7.000,
4.660,1.000,6.000,3.000,7.000,
4.670,1.000,6.000,3.000,1.000,
4.680,1.000,6.000,3.000,3.000,
4.690,3.000,6.000,3.000,3.000,
4.700,3.000,6.000,3.000,3.000,
4.710,3.000,6.000,3.000,3.000,
4.720,3.000,6.000,3.000,3.000,
4.730,3.000,6.000,3.000,3.000,
4.740,3.000,6.000,3.000,3.000,
4.750,3.000,6.000,3.000,3.000,
4.760,3.000,6.000,3.000,3.000,
4.770,3.000,4.000,3.000,3.000,
4.780,3.000,4.000,3.000,3.000,
4.790,3.000,4.000,3.000,3.000,
4.800,3.000,4.000,3.000,3.000,
4.810,3.000,4.000,3.000,3.000,
4.820,3.000,4.000,3.000,3.000,
4.830,3.000,4.000,3.000,3.000,
4.840,3.000,4.000,3.000,3.000,
4.850,3.000,4.000,3.000,3.000,
4.860,3.000,4.000,3.000,3.000,
4.870,3.000,4.000,3.000,3.000,
4.880,3.000,4.000,3.000,3.000,
4.890,3.000,4.000,3.000,3.000,
4.900,2.000,4.000,2.000,3.000,
4.910,2.000,4.000,2.000,3.000,
4.920,2.000,4.000,2.000,2.000,
4.930,2.000,4.000,2.000,2.000,
4.940,2.000,4.000,2.000,2.000,
4.950,2.000,4.000,2.000,2.000,
4.960,2.000,4.000,2.000,2.000,
4.970,2.000,4.000,2.000,2.000,
4.980,2.000,4.000,2.000,2.000,
4.990,2.000,4.000,2.000,2.000,
5.000,2.000,4.000,2.000,2.000,
5.010,2.000,4.000,2.000,2.000,
5.020,2.000,4.000,2.000,2.000,
5.030,2.000,4.000,2.000,2.000,
5.040,2.000,4.000,2.000,2.000,
5.050,2.000,4.000,2.000,2.000,
5.060,2.000,4.000,2.000,2.000,
5.070,2.000,4.000,2.000,2.000,
5.080,2.000,4.000,2.000,2.000,
5.090,2.000,4.000,2.000,2.000,
5.100,2.000,4.000,2.000,2.000,
5.110,2.000,4.000,2.000,2.000,
5.120,2.000,4.000,2.000,2.000,
5.130,2.000,4.000,2.000,2.000,
5.140,2.000,4.000,2.000,2.000,
5.150,2.000,4.000,2.000,2.000,
5.160,2.000,4.000,2.000,2.000,
5.170,2.000,4.000,2.000,2.000,
5.180,2.000,4.000,2.000,2.000,
5.190,2.000,4.000,2.000,2.000,
5.200,2.000,4.000,2.000,2.000,
5.210,2.000,4.000,2.000,2.000,
5.220,2.000,4.000,2.000,2.000,
5.230,2.000,4.000,2.000,2.000,
5.240,2.000,4.000,2.000,2.000,
5.250,2.000,4.000,2.000,2.000,
5.260,2.000,4.000,2.000,2.000,
5.270,2.000,4.000,2.000,2.000,
5.280,2.000,4.000,2.000,2.000,
5.290,2.000,4.000,2.000,2.000,
5.300,2.000,4.000,2.000,2.000,
5.310,2.000,5.000,2.000,2.000,
5.320,2.000,5.000,2.000,2.000,
5.330,2.000,5.000,2.000,2.000,
5.340,2.000,5.000,2.000,2.000,
5.350,2.000,5.000,2.000,2.000,
5.360,2.000,5.000,2.000,2.000,
5.370,2.000,5.000,2.000,2.000,
5.380,2.000,5.000,2.000,2.000,
5.390,2.000,5.000,2.000,2.000,
5.400,2.000,5.000,2.000,2.000,
5.410,2.000,5.000,2.000,2.000,
5.420,2.000,5.000,2.000,2.000,
5.430,2.000,5.000,2.000,2.000,
5.440,2.000,5.000,2.000,2.000,
5.450,2.000,5.000,2.000,2.000,
